legislator,role,district,party,residence,gender,desk_number,profession,notes,session
"Repine, Bob",,49,R,"Grants Pass, Josephine",Male,42,Business Management and Administration,,"Session : 1996 Special Session 2 - February 1-February 2, 1996 (60)"
"Roberts, Lonnie",,21,D,"Portland, Multnomah",Male,60,Government and Public Administration,,"Session : 1996 Special Session 2 - February 1-February 2, 1996 (60)"
"Ross, Barbara",,35,D,"Corvallis, Benton",Female,5,,,"Session : 1996 Special Session 2 - February 1-February 2, 1996 (60)"
"Schoon, John",,34,R,"Rickreall, Benton, Polk",Male,57,"Agriculture, Food and Natural Resources",,"Session : 1996 Special Session 2 - February 1-February 2, 1996 (60)"
"Shibley, Gail",,12,D,"Portland, Multnomah",Female,36,,,"Session : 1996 Special Session 2 - February 1-February 2, 1996 (60)"
"Shields, Frank",,16,D,"Portland, Multnomah",Male,46,Clergy,,"Session : 1996 Special Session 2 - February 1-February 2, 1996 (60)"
"Snodgrass, Lynn",,10,R,"Boring, Clackamas, Multnomah",Female,20,Home Management,,"Session : 1996 Special Session 2 - February 1-February 2, 1996 (60)"
"Sowa, Larry",,26,D,"Milwaukie, Clackamas",Male,58,Business Management and Administration,,"Session : 1996 Special Session 2 - February 1-February 2, 1996 (60)"
"Starr, Charles",,3,R,"Hillsboro, Columbia, Multnomah, Washington",Male,32,"Architecture, Construction and Skilled Trade",,"Session : 1996 Special Session 2 - February 1-February 2, 1996 (60)"
"Strobeck, Ken",,6,R,"Beaverton, Washington",Male,22,,,"Session : 1996 Special Session 2 - February 1-February 2, 1996 (60)"
"Tarno, Veral",,48,R,"Coquille, Curry, Coos",Male,7,Retired,,"Session : 1996 Special Session 2 - February 1-February 2, 1996 (60)"
"Taylor, Jackie",,1,D,"Astoria, Clatsop, Tillamook, Columbia, Washington",Female,38,Business Management and Administration,Jackie Taylor became the first Native American trical member elected to the Oregon Legislature in 1990. She was a member of the Potawatomi Tribe of Oklahoma.,"Session : 1996 Special Session 2 - February 1-February 2, 1996 (60)"
"Thompson, Terry",,4,D,"Newport, Lincoln, Lane, Polk, Tillamook, Yamhill",Male,30,"Agriculture, Food and Natural Resources",,"Session : 1996 Special Session 2 - February 1-February 2, 1996 (60)"
"Tiernan, Bob",,24,R,"Lake Oswego, Clackamas, Washington",Male,33,,,"Session : 1996 Special Session 2 - February 1-February 2, 1996 (60)"
"Uherbelau, Judith",,52,D,"Ashland, Jackson",Female,2,"Law, Public Safety, Corrections and Security",,"Session : 1996 Special Session 2 - February 1-February 2, 1996 (60)"
"VanLeeuwen, Elizabeth (Liz)",,37,R,"Halsey, Linn",Female,56,"Agriculture, Food and Natural Resources",,"Session : 1996 Special Session 2 - February 1-February 2, 1996 (60)"
"Watt, John",,50,R,"Medford, Jackson",Male,59,,,"Session : 1996 Special Session 2 - February 1-February 2, 1996 (60)"
"Wells, Larry",,30,R,"Jefferson, Marion",Male,8,"Agriculture, Food and Natural Resources",,"Session : 1996 Special Session 2 - February 1-February 2, 1996 (60)"
"Welsh, Jim",,43,R,"Elmira, Douglas, Lane",Male,16,Business Management and Administration,,"Session : 1996 Special Session 2 - February 1-February 2, 1996 (60)"
"Wooten, Cynthia",,41,D,"Eugene, Lane",Female,10,"Marketing, Sales and Service",,"Session : 1996 Special Session 2 - February 1-February 2, 1996 (60)"
"Wylie, Sharon",,22,D,"Gresham, Multnomah",Female,37,Business Management and Administration,,"Session : 1996 Special Session 2 - February 1-February 2, 1996 (60)"
"Adams, Ron",,27,R,"West Linn, Clackamas, Washington",Male,31,Business Management and Administration,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Baum, Ray",Majority Leader,58,R,"LaGrande, Union, Wallowa, Umatilla",Male,50,"Law, Public Safety, Corrections and Security","Ray Baum resigned as Majority Leader on August 4, 1995. Lynn Lundquist was appointed Majority Leader on August 4, 1995 to fill the vacancy.","Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Beyer, Lee",,42,D,"Springfield, Lane",Male,45,Government and Public Administration,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Brian, Tom",,9,R,"Tigard, Washington",Male,23,Business Management and Administration,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Brown, Kate",,13,D,"Portland, Multnomah",Female,35,"Law, Public Safety, Corrections and Security",,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Carpenter, Chuck",,7,R,"Portland, Columbia, Multnomah, Washington",Male,18,,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Carter, Margaret L.",,18,D,"Portland, Multnomah",Female,52,Human Services,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Clarno, Beverly A.",Speaker,55,R,"Bend, Jefferson, Deschutes, Wasco",Female,55,"Agriculture, Food and Natural Resources",,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Corcoran, Tony",,44,D,"Cottage Grove, Lane",Male,13,Government and Public Administration,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Courtney, Peter",Minority Leader,33,D,"Salem, Marion",Male,51,Education and Training,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Eighmey, George",,14,D,"Portland, Multnomah",Male,53,"Law, Public Safety, Corrections and Security",,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Fahey, Michael",,17,D,"Portland, Multnomah",Male,1,,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Federici, Tony",,1,D,"St. Helens, Clatsop, Columbia",Male,38,Business Management and Administration,"Tony Federici passed away while in office on August 30, 1995. ​Jackie Taylor was appointed on October 5, 1995 to fill vacancy.","Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Fisher, Bill",,45,R,"Roseburg, Douglas",Male,15,Business Management and Administration,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Gordly, Avel",,19,D,"Portland, Multnomah",Female,9,Government and Public Administration,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Grisham, Jerry",,23,R,"Beavercreek, Clackamas",Male,17,Business Management and Administration,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Hayden, Cedric",,28,R,"Lyons, Clackamas, Linn, Marion",Male,48,Health Science,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Johnson, Eldon",,51,R,"Central Point, Jackson, Josephine",Male,34,Business Management and Administration,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Johnston, Bryan",,31,D,"Salem, Marion, Polk",Male,28,"Law, Public Safety, Corrections and Security",,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Jones, D.E. (Denny)",,60,R,"Ontario, Harney, Lake, Malheur, Klamath",Male,49,"Agriculture, Food and Natural Resources",,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Josi, Timothy E.",,2,D,"Bay City, Clatsop, Columbia, Tillamook, Washington",Male,54,"Architecture, Construction and Skilled Trade","Timothy Josi resigned on October 1, 1995 and was then reappointed on October 3, 1995.","Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Lehman, Mike",,47,D,"Coos Bay, Coos, Douglas, Lane",Male,29,"Law, Public Safety, Corrections and Security",,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Lewis, Leslie",,29,R,"Newberg, Yamhill",Female,12,Business Management and Administration,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Lokan, Jane",,25,R,"Milwaukie, Clackamas",Female,11,Education and Training,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Luke, Dennis",,54,R,"Bend, Deschutes, Klamath",Male,26,"Architecture, Construction and Skilled Trade",,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Lundquist, Lynn",,59,R,"Powell Butte, Baker, Crook, Gilliam, Grant, Sherman, Wheeler, Morrow, Wasco",Male,27,"Agriculture, Food and Natural Resources","Lynn Lundquist was appointed Majority Leader on August 4, 1995 to fill vancancy of Ray Baum who resigned as Majority Leader on August 4, 1995.","Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Mannix, Kevin Leese",,32,D,"Salem, Marion",Male,3,"Law, Public Safety, Corrections and Security",,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Markham, William E. (Bill)",Speaker Pro Tempore,46,R,"Riddle, Douglas, Jackson, Josephine",Male,47,Business Management and Administration,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Meek, John",,5,R,"Hillsboro, Washington",Male,24,"Marketing, Sales and Service",,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Milne, Patti",,38,R,"Woodburn, Marion, Yamhill",Female,41,"Marketing, Sales and Service",,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Minnis, John",,20,R,"Troutdale, Multnomah",Male,39,"Law, Public Safety, Corrections and Security",,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Montgomery, Bob",,56,R,"Cascade Locks, Hood River, Clackamas, Multnomah, Wasco",Male,19,Business Management and Administration,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Naito, Lisa",,15,D,"Portland, Multnomah",Female,44,"Law, Public Safety, Corrections and Security",,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Norris, Charles R. (Chuck)",,57,R,"Hermiston, Morrow, Umatilla",Male,25,Retired,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Oakley, Carolyn",,36,R,"Albany, Benton, Linn",Female,40,Business Management and Administration,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Parks, Del",,53,R,"Klamath Falls, Klamath",Male,43,"Law, Public Safety, Corrections and Security",,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Piercy, Kitty",,39,D,"Eugene, Lane",Female,6,Education and Training,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Prozanski, Floyd",,40,D,"Eugene, Lane",Male,14,"Law, Public Safety, Corrections and Security",,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Qutub, Eileen",,8,R,"Beaverton, Washington",Female,21,"Marketing, Sales and Service",,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Rasmussen, Anitra",,11,D,"Portland, Multnomah",Female,4,,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Repine, Bob",,49,R,"Grants Pass, Josephine",Male,42,Business Management and Administration,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Roberts, Lonnie",,21,D,"Portland, Multnomah",Male,60,Government and Public Administration,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Ross, Barbara",,35,D,"Corvallis, Benton",Female,5,,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Schoon, John",,34,R,"Rickreall, Benton, Polk",Male,57,"Agriculture, Food and Natural Resources",,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Shibley, Gail",,12,D,"Portland, Multnomah",Female,36,,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Shields, Frank",,16,D,"Portland, Multnomah",Male,46,Clergy,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Snodgrass, Lynn",,10,R,"Boring, Clackamas, Multnomah",Female,20,Business Management and Administration,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Sowa, Larry",,26,D,"Milwaukie, Clackamas",Male,58,Business Management and Administration,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Starr, Charles",,3,R,"Hillsboro, Washington",Male,32,"Architecture, Construction and Skilled Trade",,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Strobeck, Ken",,6,R,"Beaverton, Washington",Male,22,,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Tarno, Veral",,48,R,"Coquille, Curry, Coos",Male,7,Retired,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Taylor, Jackie",,1,D,Portions of Clatsop and Columbia,Female,38,Retired,"Jackie Taylor was appointed on October 5, 1995 to fill vacancy of Tony Federici who passed away while in office on August 30, 1995.","Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Thompson, Terry",,4,D,"Newport, Lincoln, Lane, Polk, Tillamook, Yamhill",Male,30,"Agriculture, Food and Natural Resources",,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Tiernan, Bob",,24,R,"Lake Oswego, Clackamas, Washington",Male,33,,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Uherbelau, Judith",,52,D,"Ashland, Jackson",Female,2,"Law, Public Safety, Corrections and Security",,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"VanLeeuwen, Elizabeth (Liz)",,37,R,"Halsey, Linn",Female,56,Government and Public Administration,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Watt, John",,50,R,"Medford, Jackson",Male,59,,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Wells, Larry",,30,R,"Jefferson, Marion",Male,8,"Agriculture, Food and Natural Resources",,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Welsh, Jim",,43,R,"Elmira, Douglas, Lane",Male,16,Business Management and Administration,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Wooten, Cynthia",,41,D,"Eugene, Lane",Female,10,"Marketing, Sales and Service",,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Wylie, Sharon",,22,D,"Gresham, Multnomah",Female,37,Business Management and Administration,,"Session : 1995 Special Session 1 – July 28-August 4, 1995 (61)"
"Adams, Ron",,27,R,"West Linn, Clackamas, Washington",Male,31,Business Management and Administration,,"Session : 1995 Session - January 9-June 10, 1995 (60)"
"Baum, Ray",Majority Leader,58,R,"LaGrande, Union, Wallowa, Umatilla",Male,50,"Law, Public Safety, Corrections and Security","Ray Baum resigned as Majority Leader on August 4, 1995. Lynn Lundquist was appointed Majority Leader on August 4, 1995 to fill the vacancy.","Session : 1995 Session - January 9-June 10, 1995 (60)"
"Beyer, Lee",,42,D,"Springfield, Lane",Male,45,Government and Public Administration,,"Session : 1995 Session - January 9-June 10, 1995 (60)"
"Brian, Tom",,9,R,"Tigard, Washington",Male,23,Business Management and Administration,,"Session : 1995 Session - January 9-June 10, 1995 (60)"
"Brown, Kate",,13,D,"Portland, Multnomah",Female,35,"Law, Public Safety, Corrections and Security",,"Session : 1995 Session - January 9-June 10, 1995 (60)"
"Carpenter, Chuck",,7,R,"Portland, Columbia, Multnomah, Washington",Male,18,,,"Session : 1995 Session - January 9-June 10, 1995 (60)"
"Carter, Margaret L.",,18,D,"Portland, Multnomah",Female,52,Human Services,,"Session : 1995 Session - January 9-June 10, 1995 (60)"
"Clarno, Beverly A.",Speaker,55,R,"Bend, Jefferson, Deschutes, Wasco",Female,55,"Agriculture, Food and Natural Resources",,"Session : 1995 Session - January 9-June 10, 1995 (60)"
"Corcoran, Tony",,44,D,"Cottage Grove, Lane",Male,13,Government and Public Administration,,"Session : 1995 Session - January 9-June 10, 1995 (60)"
"Courtney, Peter",Minority Leader,33,D,"Salem, Marion",Male,51,Education and Training,,"Session : 1995 Session - January 9-June 10, 1995 (60)"
"Eighmey, George",,14,D,"Portland, Multnomah",Male,53,"Law, Public Safety, Corrections and Security",,"Session : 1995 Session - January 9-June 10, 1995 (60)"
